Prior input/output:
( 0.819277108434 , 3.43634697374 )
( 0.823293172691 , 3.3670105037 )
( 0.827309236948 , 3.29690790689 )
( 0.831325301205 , 3.22653453808 )
( 0.835341365462 , 3.15634512941 )
( 0.839357429719 , 3.08675355631 )
( 0.843373493976 , 3.01813328541 )
( 0.847389558233 , 2.95081839945 )
( 0.85140562249 , 2.88510509714 )
( 0.855421686747 , 2.82125357115 )
( 0.859437751004 , 2.75949017397 )
( 0.863453815261 , 2.70000978993 )
( 0.867469879518 , 2.64297834013 )
( 0.871485943775 , 2.5885353566 )
( 0.875502008032 , 2.53679657077 )
( 0.879518072289 , 2.48785647056 )
( 0.883534136546 , 2.44179078822 )
( 0.887550200803 , 2.39865888927 )
( 0.89156626506 , 2.35850603917 )
( 0.895582329317 , 2.32136553084 )
( 0.899598393574 , 2.28726066105 )
( 0.903614457831 , 2.25620654823 )
( 0.907630522088 , 2.2282117878 )
( 0.911646586345 , 2.20327994382 )
( 0.915662650602 , 2.18141087819 )
( 0.919678714859 , 2.1626019199 )
( 0.923694779116 , 2.14684887801 )
( 0.927710843373 , 2.13414690256 )
( 0.931726907631 , 2.12449119757 )
( 0.935742971888 , 2.11787759054 )
( 0.939759036145 , 2.11430296172 )
( 0.943775100402 , 2.11376553648 )
( 0.947791164659 , 2.11626504266 )
( 0.951807228916 , 2.12180273418 )
( 0.955823293173 , 2.1303812811 )
( 0.95983935743 , 2.14200452529 )
( 0.963855421687 , 2.15667709984 )
( 0.967871485944 , 2.17440390965 )
( 0.971887550201 , 2.19518946962 )
( 0.975903614458 , 2.2190370966 )
( 0.979919678715 , 2.24594795074 )
( 0.983935742972 , 2.27591992197 )
( 0.987951807229 , 2.30894635782 )
( 0.991967871486 , 2.34501462943 )
( 0.995983935743 , 2.3841045342 )
( 1.0 , 2.42618653518 )

True input/output:
( 0.771320643267 , 3.98485150777 )
