Mean vec: 
( 0.0 , 0.0 )
( 0.5461847389558232 , -0.7858397966777901 )
( 0.5502008032128514 , -0.7957043148614136 )
( 0.5542168674698794 , -0.805114378559554 )
( 0.5582329317269076 , -0.81407240016381 )
( 0.5622489959839357 , -0.8225810354913213 )
( 0.5662650602409638 , -0.8306431724598198 )
( 0.570281124497992 , -0.8382619202678147 )
( 0.57429718875502 , -0.8454405990656959 )
( 0.5783132530120482 , -0.8521827301029972 )
( 0.5823293172690762 , -0.8584920263301311 )
( 0.5863453815261044 , -0.8643723834301612 )
( 0.5903614457831324 , -0.8698278712603302 )
( 0.5943775100401606 , -0.8748627256779269 )
( 0.5983935742971886 , -0.8794813407305032 )
( 0.6024096385542168 , -0.8836882611876261 )
( 0.606425702811245 , -0.8874881753964695 )
( 0.610441767068273 , -0.8908859084406862 )
( 0.6144578313253012 , -0.893886415586557 )
( 0.6184738955823292 , -0.8964947759976484 )
( 0.6224899598393574 , -0.8987161867057483 )
( 0.6265060240963854 , -0.9005559568221478 )
( 0.6305220883534136 , -0.9020195019737575 )
( 0.6345381526104417 , -0.903112338956127 )
( 0.6385542168674698 , -0.9038400805872613 )
( 0.642570281124498 , -0.9042084307529152 )
( 0.646586345381526 , -0.9042231796339418 )
( 0.6506024096385542 , -0.9038901991039997 )
( 0.6546184738955823 , -0.9032154382908617 )
( 0.6586345381526104 , -0.9022049192893437 )
( 0.6626506024096385 , -0.900864733022422 )
( 0.6666666666666666 , -0.8992010352381173 )
( 0.6706827309236947 , -0.8972200426386179 )
( 0.6746987951807228 , -0.8949280291323237 )
( 0.6787148594377509 , -0.8923313222051525 )
( 0.6827309236947791 , -0.8894362994020492 )
( 0.6867469879518072 , -0.8862493849135513 )
( 0.6907630522088353 , -0.8827770462651555 )
( 0.6947791164658634 , -0.8790257910989526 )
( 0.6987951807228915 , -0.8750021640470313 )
( 0.7028112449799196 , -0.8707127436900867 )
( 0.7068273092369477 , -0.866164139595026 )
( 0.7108433734939759 , -0.8613629894311836 )
( 0.7148594377510039 , -0.8563159561582513 )
( 0.7188755020080321 , -0.8510297252810264 )
( 0.7228915662650601 , -0.8455110021700621 )
( 0.7269076305220883 , -0.8397665094421276 )
( 0.7309236947791165 , -0.8338029843981938 )
( 0.7349397590361445 , -0.8276271765142149 )
( 0.7389558232931727 , -0.821245844983785 )
( 0.7429718875502007 , -0.8146657563047071 )
( 0.7469879518072289 , -0.8078936819128634 )
( 0.7510040160642569 , -0.8009363958538908 )
( 0.7550200803212851 , -0.7938006724938402 )
( 0.7590361445783131 , -0.786493284264089 )
( 0.7630522088353413 , -0.7790209994374151 )
( 0.7670682730923694 , -0.7713905799337775 )
( 0.7710843373493975 , -0.7636087791507997 )
( 0.7751004016064257 , -0.755682339818218 )
( 0.7791164658634537 , -0.7476179918715478 )
( 0.7831325301204819 , -0.7394224503452689 )
( 0.78714859437751 , -0.7311024132769331 )
( 0.7911646586345381 , -0.7226645596265749 )
( 0.7951807228915662 , -0.7141155472028224 )
( 0.7991967871485943 , -0.7054620105952689 )
( 0.8032128514056224 , -0.696710559111206 )
( 0.8072289156626505 , -0.6878677747104194 )
( 0.8112449799196786 , -0.6789402099378892 )
( 0.8152610441767068 , -0.6699343858507556 )
( 0.8192771084337349 , -0.6608567899352904 )
( 0.823293172690763 , -0.6517138740112304 )
( 0.8273092369477911 , -0.642512052119219 )
( 0.8313253012048192 , -0.6332576983904854 )
( 0.8353413654618473 , -0.62395714488993 )
( 0.8393574297188754 , -0.6146166794343213 )
( 0.8433734939759036 , -0.6052425433756835 )
( 0.8473895582329316 , -0.5958409293518729 )
( 0.8514056224899598 , -0.5864179789927152 )
( 0.8554216867469878 , -0.5769797805822581 )
( 0.859437751004016 , -0.5675323666676766 )
( 0.8634538152610441 , -0.5580817116122531 )
( 0.8674698795180722 , -0.5486337290833733 )
( 0.8714859437751004 , -0.5391942694697018 )
( 0.8755020080321284 , -0.529769117219544 )
( 0.8795180722891566 , -0.5203639880946184 )
( 0.8835341365461846 , -0.5109845263248254 )
( 0.8875502008032128 , -0.5016363016591909 )
( 0.8915662650602408 , -0.4923248062981345 )
( 0.895582329317269 , -0.48305545169685316 )
( 0.899598393574297 , -0.473833565223506 )
( 0.9036144578313252 , -0.46466438665742116 )
( 0.9076305220883534 , -0.45555306450929234 )
( 0.9116465863453814 , -0.44650465214098867 )
( 0.9156626506024096 , -0.437524103661587 )
( 0.9196787148594376 , -0.4286162695732063 )
( 0.9236947791164658 , -0.41978589213056094 )
( 0.9277108433734939 , -0.4110376003801472 )
( 0.931726907630522 , -0.40237590482703045 )
( 0.9357429718875501 , -0.39380519168174544 )
( 0.9397590361445782 , -0.38532971661460236 )
( 0.9437751004016064 , -0.37695359793804184 )
( 0.9477911646586344 , -0.3686808091120365 )
( 0.9518072289156626 , -0.360515170450869 )
( 0.9558232931726907 , -0.3524603398554214 )
( 0.9598393574297188 , -0.3445198023615746 )
( 0.9638554216867469 , -0.33669685821042006 )
( 0.967871485943775 , -0.328994609038159 )
( 0.9718875502008031 , -0.321415941620094 )
( 0.9759036144578312 , -0.3139635083187726 )
( 0.9799196787148593 , -0.30663970293404735 )
( 0.9839357429718875 , -0.29944662978558695 )
( 0.9879518072289156 , -0.29238606213249896 )
( 0.9919678714859437 , -0.28545938201457943 )
( 0.9959839357429718 , -0.2786674819631831 )
( 1.0 , -0.2720105554446661 )


Neg dev: 
( 0.0 , 0.0 )
( 0.004016064257028112 , 0.038185971347841186 )
( 0.008032128514056224 , 0.0762912921366878 )
( 0.012048192771084336 , 0.1142741078337982 )
( 0.01606425702811245 , 0.15208699886870236 )
( 0.020080321285140562 , 0.18967880300580459 )
( 0.024096385542168672 , 0.2269956849215685 )
( 0.028112449799196783 , 0.26398192300306494 )
( 0.0321285140562249 , 0.30058055179730014 )
( 0.03614457831325301 , 0.33673391766091454 )
( 0.040160642570281124 , 0.37238416847101075 )
( 0.04417670682730923 , 0.40747365717563655 )
( 0.048192771084337345 , 0.4419450843608354 )
( 0.05220883534136546 , 0.47315460542849413 )
( 0.056224899598393566 , 0.5029504321593086 )
( 0.06024096385542168 , 0.5316577362291472 )
( 0.0642570281124498 , 0.5592650751198492 )
( 0.0682730923694779 , 0.5857630459557656 )
( 0.07228915662650602 , 0.6111441910522047 )
( 0.07630522088353413 , 0.6354028592173808 )
( 0.08032128514056225 , 0.6585350682373904 )
( 0.08433734939759036 , 0.6805383785482547 )
( 0.08835341365461846 , 0.7014117796010744 )
( 0.09236947791164658 , 0.7211555881059531 )
( 0.09638554216867469 , 0.739771356786111 )
( 0.1004016064257028 , 0.7572617922578482 )
( 0.10441767068273092 , 0.773630680789571 )
( 0.10843373493975902 , 0.7888828208778957 )
( 0.11244979919678713 , 0.8030239617332704 )
( 0.11646586345381525 , 0.8160607469203859 )
( 0.12048192771084336 , 0.8280006625168833 )
( 0.12449799196787148 , 0.8388519892502591 )
( 0.1285140562248996 , 0.8486237581545442 )
( 0.1325301204819277 , 0.857325709361549 )
( 0.1365461847389558 , 0.8649682536879658 )
( 0.14056224899598393 , 0.8715624367368017 )
( 0.14457831325301204 , 0.8771199052593668 )
( 0.14859437751004015 , 0.8816528755610368 )
( 0.15261044176706826 , 0.885174103763336 )
( 0.15662650602409636 , 0.887696857754354 )
( 0.1606425702811245 , 0.8892348906773812 )
( 0.1646586345381526 , 0.8898024158336181 )
( 0.1686746987951807 , 0.8894140828725539 )
( 0.17269076305220882 , 0.8880849551768532 )
( 0.17670682730923692 , 0.8858304883377589 )
( 0.18072289156626503 , 0.8826665096469151 )
( 0.18473895582329317 , 0.8786091985197225 )
( 0.18875502008032127 , 0.8736750677880598 )
( 0.19277108433734938 , 0.8678809457947234 )
( 0.1967871485943775 , 0.8612439592363554 )
( 0.2008032128514056 , 0.8537815167009994 )
( 0.20481927710843373 , 0.8455112928495492 )
( 0.20883534136546184 , 0.8364512132059652 )
( 0.21285140562248994 , 0.8266194395013476 )
( 0.21686746987951805 , 0.8160343555494397 )
( 0.22088353413654616 , 0.8047145536094134 )
( 0.22489959839357426 , 0.792678821204869 )
( 0.2289156626506024 , 0.7799461283717762 )
( 0.2329317269076305 , 0.7665356153039404 )
( 0.2369477911646586 , 0.7524665803747308 )
( 0.24096385542168672 , 0.7377584685030487 )
( 0.24497991967871482 , 0.7224308598462725 )
( 0.24899598393574296 , 0.7065034587951406 )
( 0.25301204819277107 , 0.6899960832532438 )
( 0.2570281124497992 , 0.6729286541761961 )
( 0.2610441767068273 , 0.6553211853582106 )
( 0.2650602409638554 , 0.6371937734393067 )
( 0.2690763052208835 , 0.6185665881296639 )
( 0.2730923694779116 , 0.5994598626184955 )
( 0.2771084337349397 , 0.5798938841661554 )
( 0.28112449799196787 , 0.5598889848554228 )
( 0.285140562248996 , 0.5394655324902726 )
( 0.2891566265060241 , 0.5186439216296477 )
( 0.2931726907630522 , 0.4974445647361015 )
( 0.2971887550200803 , 0.47588788343578237 )
( 0.3012048192771084 , 0.45399429986619266 )
( 0.3052208835341365 , 0.4317842281054092 )
( 0.3092369477911646 , 0.40927806566668523 )
( 0.3132530120481927 , 0.38649618504609295 )
( 0.31726907630522083 , 0.3634589253120828 )
( 0.321285140562249 , 0.34018658371996857 )
( 0.3253012048192771 , 0.31669940734304447 )
( 0.3293172690763052 , 0.29301758470510353 )
( 0.3333333333333333 , 0.269161237398502 )
