Mean vec: 
( 0.0 , 5.684341886080802e-14 )
( 0.9277108433734939 , -0.36253711609106704 )
( 0.931726907630522 , -0.35650793811263726 )
( 0.9357429718875501 , -0.350583847477288 )
( 0.9397590361445782 , -0.3447677654789715 )
( 0.9437751004016064 , -0.33906248772710146 )
( 0.9477911646586344 , -0.3334706776829924 )
( 0.9518072289156626 , -0.32799485945241647 )
( 0.9558232931726907 , -0.322637409672001 )
( 0.9598393574297188 , -0.3174005482829867 )
( 0.9638554216867469 , -0.31228632791333155 )
( 0.967871485943775 , -0.307296621483011 )
( 0.9718875502008031 , -0.30243310747728147 )
( 0.9759036144578312 , -0.2976972520720515 )
( 0.9799196787148593 , -0.2930902868295194 )
( 0.9839357429718875 , -0.2886131798402952 )
( 0.9879518072289156 , -0.28426659646860475 )
( 0.9919678714859437 , -0.28005084184955215 )
( 0.9959839357429718 , -0.2759657656280194 )
( 1.0 , -0.27201055544468034 )


Neg dev: 
( 0.0 , 5.684341886080802e-14 )
( 0.004016064257028112 , 0.038573335987986415 )
( 0.008032128514056224 , 0.0769542626546302 )
( 0.012048192771084336 , 0.11509381672119309 )
( 0.01606425702811245 , 0.1529375879714963 )
( 0.020080321285140562 , 0.19042727098141254 )
( 0.024096385542168672 , 0.22750158194747472 )
( 0.028112449799196783 , 0.2640969309771297 )
( 0.0321285140562249 , 0.30014796803018085 )
( 0.03614457831325301 , 0.3355880553243913 )
( 0.040160642570281124 , 0.37034969488996905 )
( 0.04417670682730923 , 0.40436492902370963 )
( 0.048192771084337345 , 0.4375657259340541 )
( 0.05220883534136546 , 0.46988435992503663 )
( 0.056224899598393566 , 0.5012537939480896 )
( 0.06024096385542168 , 0.5316080715012736 )
( 0.0642570281124498 , 0.5608827243959189 )
( 0.0682730923694779 , 0.5890152018760546 )
( 0.07228915662650602 , 0.6159453229082916 )
( 0.07630522088353413 , 0.6416157376886762 )
( 0.08032128514056225 , 0.6659722999239934 )
( 0.08433734939759036 , 0.6873522724285167 )
( 0.08835341365461846 , 0.7064128156234508 )
( 0.09236947791164658 , 0.7240869431039434 )
( 0.09638554216867469 , 0.7403938702381033 )
( 0.1004016064257028 , 0.755356016222798 )
( 0.10441767068273092 , 0.768998679925011 )
( 0.10843373493975902 , 0.7813496749576343 )
( 0.11244979919678713 , 0.7924389838559925 )
( 0.11646586345381525 , 0.8022984399023009 )
( 0.12048192771084336 , 0.8109614348094137 )
( 0.12449799196787148 , 0.8184626482544777 )
( 0.1285140562248996 , 0.8248377950581923 )
( 0.1325301204819277 , 0.8301233860669753 )
( 0.1365461847389558 , 0.8343564990780075 )
( 0.14056224899598393 , 0.8375745563350073 )
( 0.14457831325301204 , 0.8398151050766133 )
( 0.14859437751004015 , 0.8411155973783971 )
( 0.15261044176706826 , 0.8415131649005531 )
( 0.15662650602409636 , 0.8410443830136192 )
( 0.1606425702811245 , 0.8397450166955929 )
( 0.1646586345381526 , 0.8376497368321505 )
( 0.1686746987951807 , 0.8347917881320339 )
( 0.17269076305220882 , 0.8312025737757204 )
( 0.17670682730923692 , 0.8269110798295694 )
( 0.18072289156626503 , 0.8219429072274048 )
( 0.18473895582329317 , 0.813581512200842 )
( 0.18875502008032127 , 0.803439238106847 )
( 0.19277108433734938 , 0.792480601511541 )
( 0.1967871485943775 , 0.780742511272223 )
( 0.2008032128514056 , 0.768259713026886 )
( 0.20481927710843373 , 0.7550653208015896 )
( 0.20883534136546184 , 0.7411911254622249 )
( 0.21285140562248994 , 0.7266677990717809 )
( 0.21686746987951805 , 0.711525041055607 )
( 0.22088353413654616 , 0.6957916881761287 )
( 0.22489959839357426 , 0.6794958003273556 )
( 0.2289156626506024 , 0.6626647293053227 )
( 0.2329317269076305 , 0.6453251751068046 )
( 0.2369477911646586 , 0.6275032327954365 )
( 0.24096385542168672 , 0.6092244320487816 )
( 0.24497991967871482 , 0.5905137709059646 )
( 0.24899598393574296 , 0.5713957448345519 )
( 0.25301204819277107 , 0.5518943719601448 )
( 0.2570281124497992 , 0.5320332151113186 )
( 0.2610441767068273 , 0.5118354011855786 )
( 0.2650602409638554 , 0.49132363824336417 )
( 0.2690763052208835 , 0.4705202306493633 )
( 0.2730923694779116 , 0.4494470925325267 )
( 0.2771084337349397 , 0.42812575977613926 )
( 0.28112449799196787 , 0.4065774007190062 )
( 0.285140562248996 , 0.3848228257198848 )
( 0.2891566265060241 , 0.362882495708747 )
( 0.2931726907630522 , 0.34077652983414763 )
( 0.2971887550200803 , 0.3185247122947151 )
( 0.3012048192771084 , 0.29614649843650837 )
( 0.3052208835341365 , 0.2736610201779812 )
( 0.3092369477911646 , 0.2510870908244311 )
( 0.3132530120481927 , 0.22844320931718437 )
( 0.31726907630522083 , 0.20574756396250057 )
( 0.321285140562249 , 0.18301803567907274 )
