Mean vec: 
( 0.0 , 0.0 )
( 0.8554216867469878 , -0.5928761361336947 )
( 0.859437751004016 , -0.583040572267081 )
( 0.8634538152610441 , -0.5731960221386221 )
( 0.8674698795180722 , -0.5633486500786468 )
( 0.8714859437751004 , -0.5535045562099983 )
( 0.8755020080321284 , -0.5436697736989262 )
( 0.8795180722891566 , -0.5338502659167017 )
( 0.8835341365461846 , -0.5240519235051622 )
( 0.8875502008032128 , -0.5142805613332897 )
( 0.8915662650602408 , -0.5045419153352159 )
( 0.895582329317269 , -0.49484163921513585 )
( 0.899598393574297 , -0.48518530100641577 )
( 0.9036144578313252 , -0.47557837946698195 )
( 0.9076305220883534 , -0.46602626029358685 )
( 0.9116465863453814 , -0.4565342321315339 )
( 0.9156626506024096 , -0.4471074823589232 )
( 0.9196787148594376 , -0.4377510926136696 )
( 0.9236947791164658 , -0.4284700340305433 )
( 0.9277108433734939 , -0.4192691621519507 )
( 0.931726907630522 , -0.41015321146162576 )
( 0.9357429718875501 , -0.4011267894892133 )
( 0.9397590361445782 , -0.3921943704145482 )
( 0.9437751004016064 , -0.3833602880923334 )
( 0.9477911646586344 , -0.37462872838949407 )
( 0.9518072289156626 , -0.3660037207087008 )
( 0.9558232931726907 , -0.3574891285275394 )
( 0.9598393574297188 , -0.3490886387339296 )
( 0.9638554216867469 , -0.3408057494643235 )
( 0.967871485943775 , -0.3326437560390276 )
( 0.9718875502008031 , -0.32460573441793134 )
( 0.9759036144578312 , -0.31669452132681775 )
( 0.9799196787148593 , -0.3089126897320653 )
( 0.9839357429718875 , -0.30126251748182964 )
( 0.9879518072289156 , -0.29374594518745284 )
( 0.9919678714859437 , -0.2863645153741494 )
( 0.9959839357429718 , -0.279119273230067 )
( 1.0 , -0.27201055544468034 )


Neg dev: 
( 0.0 , 0.0 )
( 0.004016064257028112 , 0.03551446815610984 )
( 0.008032128514056224 , 0.07102088293808038 )
( 0.012048192771084336 , 0.10648901093623617 )
( 0.01606425702811245 , 0.14188473348359562 )
( 0.020080321285140562 , 0.17717114594472735 )
( 0.024096385542168672 , 0.2123091744920814 )
( 0.028112449799196783 , 0.24725801134970563 )
( 0.0321285140562249 , 0.28197545647495215 )
( 0.03614457831325301 , 0.31641820385353636 )
( 0.040160642570281124 , 0.35054209246658347 )
( 0.04417670682730923 , 0.38430233379328665 )
( 0.048192771084337345 , 0.4176537235317041 )
( 0.05220883534136546 , 0.4505508428264307 )
( 0.056224899598393566 , 0.4829482527909744 )
( 0.06024096385542168 , 0.514800684952147 )
( 0.0642570281124498 , 0.5460632290393366 )
( 0.0682730923694779 , 0.5766915174692838 )
( 0.07228915662650602 , 0.6066419010378078 )
( 0.07630522088353413 , 0.635871595218191 )
( 0.08032128514056225 , 0.6643387098371034 )
( 0.08433734939759036 , 0.6893892047089878 )
( 0.08835341365461846 , 0.7118849106829526 )
( 0.09236947791164658 , 0.7332608745732175 )
( 0.09638554216867469 , 0.7535125407626696 )
( 0.1004016064257028 , 0.7726369288906368 )
( 0.10441767068273092 , 0.7906326127458969 )
( 0.10843373493975902 , 0.8074996355492273 )
( 0.11244979919678713 , 0.8232394148075106 )
( 0.11646586345381525 , 0.8378546500001459 )
( 0.12048192771084336 , 0.8513492367130404 )
( 0.12449799196787148 , 0.8637281878804612 )
( 0.1285140562248996 , 0.8749975618326757 )
( 0.1325301204819277 , 0.8851643965423307 )
( 0.1365461847389558 , 0.8942366494082623 )
( 0.14056224899598393 , 0.9022231419565455 )
( 0.14457831325301204 , 0.9091335088884791 )
( 0.14859437751004015 , 0.9149781509875228 )
( 0.15261044176706826 , 0.9197681914521905 )
( 0.15662650602409636 , 0.9235154352860688 )
( 0.1606425702811245 , 0.9262323314184335 )
( 0.1646586345381526 , 0.9279319372809393 )
( 0.1686746987951807 , 0.9286278855918603 )
( 0.17269076305220882 , 0.9283343531372222 )
( 0.17670682730923692 , 0.9270660313634073 )
( 0.18072289156626503 , 0.9248380986138713 )
( 0.18473895582329317 , 0.9216661938667557 )
( 0.18875502008032127 , 0.9175663918438058 )
( 0.19277108433734938 , 0.9125551793760349 )
( 0.1967871485943775 , 0.9066494329223105 )
( 0.2008032128514056 , 0.8998663971507694 )
( 0.20481927710843373 , 0.8922236644965122 )
( 0.20883534136546184 , 0.8837391556254875 )
( 0.21285140562248994 , 0.8744311007308765 )
( 0.21686746987951805 , 0.8643180216054783 )
( 0.22088353413654616 , 0.8534187144291798 )
( 0.22489959839357426 , 0.8417522332233379 )
( 0.2289156626506024 , 0.8293378739210473 )
( 0.2329317269076305 , 0.8161951590137793 )
( 0.2369477911646586 , 0.8023438227310645 )
( 0.24096385542168672 , 0.7878037967158713 )
( 0.24497991967871482 , 0.7725951961631189 )
( 0.24899598393574296 , 0.7567383063870549 )
( 0.25301204819277107 , 0.7402535697882547 )
( 0.2570281124497992 , 0.7231615731917517 )
( 0.2610441767068273 , 0.705483035529358 )
( 0.2650602409638554 , 0.6872387958432854 )
( 0.2690763052208835 , 0.6684498015825968 )
( 0.2730923694779116 , 0.649137097176062 )
( 0.2771084337349397 , 0.6293218128569462 )
( 0.28112449799196787 , 0.6090251537176551 )
( 0.285140562248996 , 0.5882683889796585 )
( 0.2891566265060241 , 0.5670728414548895 )
( 0.2931726907630522 , 0.5454598771849596 )
( 0.2971887550200803 , 0.523450895236788 )
