

Mean vec: 
( 0.0 , 1.4210854715202004e-14 )
( 0.7791164658634537 , -0.6331424144893844 )
( 0.7831325301204819 , -0.6260001223383159 )
( 0.78714859437751 , -0.6187934220439567 )
( 0.7911646586345381 , -0.6115278365894758 )
( 0.7951807228915662 , -0.6042088548360471 )
( 0.7991967871485943 , -0.596841930077186 )
( 0.8032128514056224 , -0.5894324785863412 )
( 0.8072289156626505 , -0.5819858781581704 )
( 0.8112449799196786 , -0.5745074666382484 )
( 0.8152610441767068 , -0.5670025404414053 )
( 0.8192771084337349 , -0.5594763530556893 )
( 0.823293172690763 , -0.5519341135270679 )
( 0.8273092369477911 , -0.5443809849248473 )
( 0.8313253012048192 , -0.5368220827826495 )
( 0.8353413654618473 , -0.5292624735141466 )
( 0.8393574297188754 , -0.521707172797746 )
( 0.8433734939759036 , -0.5141611439283137 )
( 0.8473895582329316 , -0.5066292961320971 )
( 0.8514056224899598 , -0.49911648283999943 )
( 0.8554216867469878 , -0.49162749991610666 )
( 0.859437751004016 , -0.48416708383461604 )
( 0.8634538152610441 , -0.4767399098041266 )
( 0.8674698795180722 , -0.4693505898288232 )
( 0.8714859437751004 , -0.46200367070214976 )
( 0.8755020080321284 , -0.4547036319319877 )
( 0.8795180722891566 , -0.4474548835775479 )
( 0.8835341365461846 , -0.44026176400505135 )
( 0.8875502008032128 , -0.4331285375392644 )
( 0.8915662650602408 , -0.4260593920109369 )
( 0.895582329317269 , -0.4190584361817754 )
( 0.899598393574297 , -0.4121296970401442 )
( 0.9036144578313252 , -0.4052771169470066 )
( 0.9076305220883534 , -0.3985045506205918 )
( 0.9116465863453814 , -0.3918157619360918 )
( 0.9156626506024096 , -0.3852144205210992 )
( 0.9196787148594376 , -0.37870409812211386 )
( 0.9236947791164658 , -0.37228826470537046 )
( 0.9277108433734939 , -0.3659702842665223 )
( 0.931726907630522 , -0.3597534102924974 )
( 0.9357429718875501 , -0.35364078084178935 )
( 0.9397590361445782 , -0.3476354131590236 )
( 0.9437751004016064 , -0.341740197768142 )
( 0.9477911646586344 , -0.33595789192648184 )
( 0.9518072289156626 , -0.3302911123353317 )
( 0.9558232931726907 , -0.3247423269349371 )
( 0.9598393574297188 , -0.31931384558319564 )
( 0.9638554216867469 , -0.31400780933361694 )
( 0.967871485943775 , -0.308826177922925 )
( 0.9718875502008031 , -0.3037707149241179 )
( 0.9759036144578312 , -0.29884296972890045 )
( 0.9799196787148593 , -0.29404425508613447 )
( 0.9839357429718875 , -0.289375618060728 )
( 0.9879518072289156 , -0.2848378005652104 )
( 0.9919678714859437 , -0.2804311815858372 )
( 0.9959839357429718 , -0.27615568158032805 )
( 1.0 , -0.27201055544468744 )


Neg dev: 
( 0.0 , 1.4210854715202004e-14 )
( 0.004016064257028112 , 0.03942124651774582 )
