Prior density:
( 0.971887550201 , 1.20058493878e-18 )
( 0.975903614458 , 6.73838678599e-19 )
( 0.979919678715 , 3.78125922283e-19 )
( 0.983935742972 , 2.12132014666e-19 )
( 0.987951807229 , 1.18969039648e-19 )
( 0.991967871486 , 6.66937876332e-20 )
( 0.995983935743 , 3.73700129259e-20 )
( 1.0 , 2.09270204186e-20 )

True input/output:
( 0.417022004703 , 4.79514730053 )

Cond mean:
 0.481222567509

MAP:
 0.433734939759
